time [s],heart_rate [bpm] (/api/datatype/19/),breathing_rate [rpm] (/api/datatype/33/),cadence [spm] (/api/datatype/53/)cadence [spm] (/api/datatype/53/)
2021-06-19 10:00:50:507812,70,10,0
2021-06-19 10:00:51:507812,70,10,0
2021-06-19 10:00:52:507812,70,10,0
2021-06-19 10:00:53:507812,70,10,0
2021-06-19 10:00:54:507812,70,10,0
2021-06-19 10:00:55:507812,70,12,0
2021-06-19 10:00:56:507812,70,16,0
2021-06-19 10:00:57:507812,70,20,0
2021-06-19 10:00:58:507812,70,21,0
2021-06-19 10:00:59:507812,140,21,0
2021-06-19 10:01:00:507812,146,19,0
2021-06-19 10:01:01:507812,146,19,0
2021-06-19 10:01:02:507812,146,18,0
2021-06-19 10:01:03:507812,135,19,0
2021-06-19 10:01:04:507812,135,19,0
2021-06-19 10:01:05:507812,124,19,0
2021-06-19 10:01:06:507812,124,19,0
2021-06-19 10:01:07:507812,124,19,0
2021-06-19 10:01:08:507812,109,19,0
2021-06-19 10:01:09:507812,109,19,0
2021-06-19 10:01:10:507812,109,19,0
2021-06-19 10:01:11:507812,102,19,0
2021-06-19 10:01:12:507812,94,20,0
2021-06-19 10:01:13:507812,97,20,0
2021-06-19 10:01:14:507812,79,20,0
2021-06-19 10:01:15:507812,73,19,0
2021-06-19 10:01:16:507812,67,19,0
2021-06-19 10:01:17:507812,75,19,0
2021-06-19 10:01:18:507812,75,19,0
2021-06-19 10:01:19:507812,77,19,0
2021-06-19 10:01:20:507812,78,19,0
2021-06-19 10:01:21:507812,79,19,0
2021-06-19 10:01:22:507812,81,19,0
2021-06-19 10:01:23:507812,76,19,0
2021-06-19 10:01:24:507812,78,18,0
2021-06-19 10:01:25:507812,83,18,0
2021-06-19 10:01:26:507812,84,18,0
2021-06-19 10:01:27:507812,87,19,0
2021-06-19 10:01:28:507812,86,19,0
2021-06-19 10:01:29:507812,86,19,56
2021-06-19 10:01:30:507812,85,20,88
2021-06-19 10:01:31:507812,90,19,93
2021-06-19 10:01:32:507812,86,19,89
2021-06-19 10:01:33:507812,86,18,88
2021-06-19 10:01:34:507812,86,18,84
2021-06-19 10:01:35:507812,86,18,73
2021-06-19 10:01:36:507812,85,18,65
2021-06-19 10:01:37:507812,86,18,66
2021-06-19 10:01:38:507812,88,19,76
2021-06-19 10:01:39:507812,85,19,94
2021-06-19 10:01:40:507812,85,19,112
2021-06-19 10:01:41:507812,83,20,123
2021-06-19 10:01:42:507812,83,20,126
2021-06-19 10:01:43:507812,83,21,105
2021-06-19 10:01:44:507812,81,21,51
2021-06-19 10:01:45:507812,78,21,0
2021-06-19 10:01:46:507812,79,21,0
2021-06-19 10:01:47:507812,81,21,0
2021-06-19 10:01:48:507812,83,21,0
2021-06-19 10:01:49:507812,84,21,0
2021-06-19 10:01:50:507812,85,23,0
2021-06-19 10:01:51:507812,85,24,0
2021-06-19 10:01:52:507812,85,25,0
2021-06-19 10:01:53:507812,88,26,0
2021-06-19 10:01:54:507812,89,25,0
2021-06-19 10:01:55:507812,100,25,0
2021-06-19 10:01:56:507812,105,25,0
2021-06-19 10:01:57:507812,113,23,0
2021-06-19 10:01:58:507812,115,21,0
2021-06-19 10:01:59:507812,117,21,0
2021-06-19 10:02:00:507812,117,22,0
2021-06-19 10:02:01:507812,119,22,0
2021-06-19 10:02:02:507812,118,22,0
2021-06-19 10:02:03:507812,117,21,0
2021-06-19 10:02:04:507812,116,21,0
2021-06-19 10:02:05:507812,115,20,0
2021-06-19 10:02:06:507812,113,20,0
2021-06-19 10:02:07:507812,112,19,0
2021-06-19 10:02:08:507812,112,19,0
2021-06-19 10:02:09:507812,112,19,0
2021-06-19 10:02:10:507812,112,20,0
2021-06-19 10:02:11:507812,111,20,0
2021-06-19 10:02:12:507812,111,19,0
2021-06-19 10:02:13:507812,110,19,0
2021-06-19 10:02:14:507812,110,19,0
2021-06-19 10:02:15:507812,109,19,0
2021-06-19 10:02:16:507812,109,18,0
2021-06-19 10:02:17:507812,109,17,0
2021-06-19 10:02:18:507812,110,17,0
2021-06-19 10:02:19:507812,109,17,0
2021-06-19 10:02:20:507812,109,17,0
2021-06-19 10:02:21:507812,109,17,0
2021-06-19 10:02:22:507812,109,17,0
2021-06-19 10:02:23:507812,109,17,0
2021-06-19 10:02:24:507812,109,17,0
2021-06-19 10:02:25:507812,107,16,0
2021-06-19 10:02:26:507812,107,16,0
2021-06-19 10:02:27:507812,104,16,0
2021-06-19 10:02:28:507812,104,16,0
2021-06-19 10:02:29:507812,104,16,0
2021-06-19 10:02:30:507812,103,17,0
2021-06-19 10:02:31:507812,103,17,0
2021-06-19 10:02:32:507812,103,17,0
2021-06-19 10:02:33:507812,103,16,49
2021-06-19 10:02:34:507812,102,16,104
