time [s],heart_rate [bpm] (/api/datatype/19/),breathing_rate [rpm] (/api/datatype/33/),cadence [spm] (/api/datatype/53/)cadence [spm] (/api/datatype/53/)
2021-08-09 18:36:03:207031,70,10,0
2021-08-09 18:36:04:207031,70,10,0
2021-08-09 18:36:05:207031,70,10,0
2021-08-09 18:36:06:207031,70,10,0
2021-08-09 18:36:07:207031,70,10,0
2021-08-09 18:36:08:207031,70,10,0
2021-08-09 18:36:09:207031,70,10,0
2021-08-09 18:36:10:207031,70,10,0
2021-08-09 18:36:11:207031,130,10,0
2021-08-09 18:36:12:207031,130,10,0
2021-08-09 18:36:13:207031,130,10,0
2021-08-09 18:36:14:207031,130,11,0
2021-08-09 18:36:15:207031,127,12,0
2021-08-09 18:36:16:207031,122,15,0
2021-08-09 18:36:17:207031,119,18,0
2021-08-09 18:36:18:207031,119,20,0
2021-08-09 18:36:19:207031,118,20,0
2021-08-09 18:36:20:207031,118,20,0
2021-08-09 18:36:21:207031,116,19,0
2021-08-09 18:36:22:207031,108,19,0
2021-08-09 18:36:23:207031,108,19,0
2021-08-09 18:36:24:207031,108,19,0
2021-08-09 18:36:25:207031,108,20,0
2021-08-09 18:36:26:207031,106,21,0
2021-08-09 18:36:27:207031,99,22,0
2021-08-09 18:36:28:207031,97,21,0
2021-08-09 18:36:29:207031,97,20,0
2021-08-09 18:36:30:207031,97,20,0
2021-08-09 18:36:31:207031,84,20,0
2021-08-09 18:36:32:207031,84,20,0
2021-08-09 18:36:33:207031,81,20,0
2021-08-09 18:36:34:207031,81,20,0
2021-08-09 18:36:35:207031,76,19,0
2021-08-09 18:36:36:207031,76,18,0
2021-08-09 18:36:37:207031,75,17,0
2021-08-09 18:36:38:207031,74,17,0
2021-08-09 18:36:39:207031,77,17,0
2021-08-09 18:36:40:207031,79,17,0
2021-08-09 18:36:41:207031,78,18,0
2021-08-09 18:36:42:207031,78,18,0
2021-08-09 18:36:43:207031,78,18,0
2021-08-09 18:36:44:207031,80,17,0
2021-08-09 18:36:45:207031,80,16,0
2021-08-09 18:36:46:207031,80,15,0
2021-08-09 18:36:47:207031,81,15,0
2021-08-09 18:36:48:207031,98,15,0
2021-08-09 18:36:49:207031,98,15,0
2021-08-09 18:36:50:207031,106,15,0
2021-08-09 18:36:51:207031,99,15,0
2021-08-09 18:36:52:207031,94,15,0
2021-08-09 18:36:53:207031,91,14,0
2021-08-09 18:36:54:207031,87,13,0
2021-08-09 18:36:55:207031,84,13,0
2021-08-09 18:36:56:207031,77,13,0
2021-08-09 18:36:57:207031,77,13,0
2021-08-09 18:36:58:207031,77,13,0
2021-08-09 18:36:59:207031,77,13,0
2021-08-09 18:37:00:207031,75,12,0
2021-08-09 18:37:01:207031,75,12,0
2021-08-09 18:37:02:207031,70,12,0
2021-08-09 18:37:03:207031,70,13,0
2021-08-09 18:37:04:207031,66,13,0
2021-08-09 18:37:05:207031,66,13,0
2021-08-09 18:37:06:207031,66,14,0
2021-08-09 18:37:07:207031,66,14,0
2021-08-09 18:37:08:207031,66,14,0
2021-08-09 18:37:09:207031,65,14,0
2021-08-09 18:37:10:207031,65,14,0
2021-08-09 18:37:11:207031,65,14,0
2021-08-09 18:37:12:207031,65,14,0
2021-08-09 18:37:13:207031,65,14,0
2021-08-09 18:37:14:207031,65,14,0
2021-08-09 18:37:15:207031,66,15,0
2021-08-09 18:37:16:207031,66,15,0
2021-08-09 18:37:17:207031,66,16,0
2021-08-09 18:37:18:207031,66,17,0
2021-08-09 18:37:19:207031,66,17,0
2021-08-09 18:37:20:207031,65,17,0
2021-08-09 18:37:21:207031,65,17,0
2021-08-09 18:37:22:207031,65,16,0
2021-08-09 18:37:23:207031,65,16,0
2021-08-09 18:37:24:207031,64,16,0
2021-08-09 18:37:25:207031,65,16,0
2021-08-09 18:37:26:207031,65,16,0
2021-08-09 18:37:27:207031,65,16,0
2021-08-09 18:37:28:207031,63,16,0
2021-08-09 18:37:29:207031,63,16,0
2021-08-09 18:37:30:207031,64,15,0
2021-08-09 18:37:31:207031,64,15,0
2021-08-09 18:37:32:207031,64,15,0
2021-08-09 18:37:33:207031,63,15,0
2021-08-09 18:37:34:207031,63,15,0
2021-08-09 18:37:35:207031,63,15,0
2021-08-09 18:37:36:207031,62,14,0
2021-08-09 18:37:37:207031,62,14,0
2021-08-09 18:37:38:207031,62,14,0
2021-08-09 18:37:39:207031,63,14,0
2021-08-09 18:37:40:207031,67,15,0
2021-08-09 18:37:41:207031,70,15,0
2021-08-09 18:37:42:207031,70,16,0
2021-08-09 18:37:43:207031,70,16,0
2021-08-09 18:37:44:207031,70,15,0
2021-08-09 18:37:45:207031,72,15,0
2021-08-09 18:37:46:207031,72,15,0
2021-08-09 18:37:47:207031,72,15,0
2021-08-09 18:37:48:207031,73,16,0
2021-08-09 18:37:49:207031,71,16,0
2021-08-09 18:37:50:207031,73,16,0
2021-08-09 18:37:51:207031,72,16,0
2021-08-09 18:37:52:207031,71,17,0
2021-08-09 18:37:53:207031,71,17,0
2021-08-09 18:37:54:207031,71,17,0
2021-08-09 18:37:55:207031,70,17,0
2021-08-09 18:37:56:207031,70,16,0
2021-08-09 18:37:57:207031,64,16,0
2021-08-09 18:37:58:207031,63,16,0
2021-08-09 18:37:59:207031,63,17,0
2021-08-09 18:38:00:207031,62,17,0
2021-08-09 18:38:01:207031,62,17,0
2021-08-09 18:38:02:207031,62,17,0
2021-08-09 18:38:03:207031,62,17,0
2021-08-09 18:38:04:207031,62,17,0
2021-08-09 18:38:05:207031,61,17,0
2021-08-09 18:38:06:207031,61,17,0
2021-08-09 18:38:07:207031,61,16,0
2021-08-09 18:38:08:207031,61,16,0
2021-08-09 18:38:09:207031,62,16,0
