time [s],heart_rate [bpm] (/api/datatype/19/),breathing_rate [rpm] (/api/datatype/33/),cadence [spm] (/api/datatype/53/)cadence [spm] (/api/datatype/53/)
2021-06-26 09:11:36:066406,70,10,0
2021-06-26 09:11:37:066406,70,10,0
2021-06-26 09:11:38:066406,70,10,0
2021-06-26 09:11:39:066406,70,10,0
2021-06-26 09:11:40:066406,70,16,0
2021-06-26 09:11:41:066406,70,31,0
2021-06-26 09:11:42:066406,70,45,0
2021-06-26 09:11:43:066406,70,50,0
2021-06-26 09:11:44:066406,70,48,0
2021-06-26 09:11:45:066406,112,40,0
2021-06-26 09:11:46:066406,104,33,0
2021-06-26 09:11:47:066406,104,31,0
2021-06-26 09:11:48:066406,104,31,0
2021-06-26 09:11:49:066406,104,29,0
2021-06-26 09:11:50:066406,103,28,0
2021-06-26 09:11:51:066406,103,27,0
2021-06-26 09:11:52:066406,103,28,0
2021-06-26 09:11:53:066406,103,28,0
2021-06-26 09:11:54:066406,101,29,0
2021-06-26 09:11:55:066406,101,29,0
2021-06-26 09:11:56:066406,100,28,0
2021-06-26 09:11:57:066406,96,27,0
2021-06-26 09:11:58:066406,97,25,0
2021-06-26 09:11:59:066406,103,24,0
2021-06-26 09:12:00:066406,97,23,64
2021-06-26 09:12:01:066406,98,23,108
2021-06-26 09:12:02:066406,96,23,123
2021-06-26 09:12:03:066406,100,24,116
2021-06-26 09:12:04:066406,100,24,105
2021-06-26 09:12:05:066406,94,25,96
2021-06-26 09:12:06:066406,96,26,94
2021-06-26 09:12:07:066406,100,26,94
2021-06-26 09:12:08:066406,102,26,93
2021-06-26 09:12:09:066406,102,25,91
2021-06-26 09:12:10:066406,103,24,91
2021-06-26 09:12:11:066406,104,23,91
2021-06-26 09:12:12:066406,107,22,93
2021-06-26 09:12:13:066406,101,22,99
2021-06-26 09:12:14:066406,100,23,107
2021-06-26 09:12:15:066406,98,25,92
2021-06-26 09:12:16:066406,99,26,56
2021-06-26 09:12:17:066406,99,26,45
2021-06-26 09:12:18:066406,100,25,56
2021-06-26 09:12:19:066406,100,24,59
2021-06-26 09:12:20:066406,100,23,56
